Product,Price,Brand,Core,RAM,ScrSize,GraphicCard,Drive_Type,Capacity,OperSystem,Weight,Madein,Since,Shop,URL
"Laptop Asus Vivobook X515EA-BR2045W i3 1115G4/4GB/512GB/15.6""HD/Win 11 (No.00826501)",10690000,Asus,"Intel, Core i3, 1115G4",4,15.6,Intel UHD Graphics,SDD,512,Windows 11,1.8 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-x515ea-br2045w-i3-1115g4
"Laptop Asus Gaming ROG G513IC-HN729W R7 4800H/8GB/512GB/15.6"" FHD/GeForce RTX 3050 4GB/Win11 (No.00839752)",21990000,Asus,"AMD, Ryzen 7, 4800H",8,15.6,NVIDIA GeForce RTX 3050 4GB; AMD Radeon Graphics,SDD,512,Windows 11 Home,2.1 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-gaming-rog-g513ic-hn729w-r7-4800h
"Laptop MSI Gaming GF63 Thin 11SC-663VN i7 11800H/8GB/512GB/15.6"" FHD/Geforce GTX 1650 MaxQ 4GB/Win 11 (No.00823167)",20490000,MSI,"Intel, Core i7, 11800H",8,15.6,NVIDIA GeForce GTX 1650 Max-Q 4GB; Intel UHD Graphics,SDD,512,Windows 11 Home Single Language,1.86 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-gf63-thin-11sc-663vn-i7-11800h
"Laptop Acer Nitro Gaming AN515-57-54MV i5 11400H/8GB/512GB/15.6""FHD/NVIDIA GeForce RTX 3050 4GB/Win10 (No.00775122)",21490000,Acer,"Intel, Core i5, 11400H",8,15.6,NVIDIA GeForce RTX 3050 4GB; Intel UHD Graphics,SDD,512,Windows 11 Home,2.2 kg,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-57-54mv-i5-11400h
"Laptop MSI GF63 Thin 11UC-444VN i5 11400H/8GB/512GB/15.6""FHD/NVIDIA GeForce RTX 3050 4GB/Win10/Balo (No.00793701)",20990000,MSI,"Intel, Core i5, 11400H",8,15.6,NVIDIA GeForce RTX 3050 4GB; Intel UHD Graphics,SDD,512,Windows 11 Home Single Language,1.86 kg,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-gf63-thin-11uc-444vn-i5-11400h
"Laptop Asus Vivobook M1403QA-LY022W R5 5600H/8GB/512GB/14""WUXGA/Win 11 (No.00828854)",14990000,Asus,"AMD, Ryzen 5, 5600H",8,14.0,AMD Radeon Graphics,SDD,512,Windows 11,1.6 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-m1403qa-ly022w-r5-5600h
"Laptop MSI Modern 15 A5M 235VN R7 5700U/8GB/512GB/15.6""FHD/Win 11 (No.00783935)",15990000,MSI,"AMD, Ryzen 7, 5700U",8,15.6,AMD Radeon Graphics,SDD,512,Windows 11 Home,1.6 kg,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-15-a5m-235vn-r7-5700u
"Laptop Lenovo IdeaPad 3 14IAU7 i5-1235U/8GB/512GB/14"" FHD/Win 11 (No.00836269)",14990000,Lenovo,"Intel, Core i5, 1235U",8,14.0,Intel Iris Xe Graphics,SDD,512,Windows 11 Home,1.63 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-3-14iau7-i5-1235u
"Laptop HP Pavilion 15 eg2057TU i5 1240P/8GB/512GB/15.6""FHD/Win 11 (No.00825040)",17990000,HP,"Intel, Core i5, 1240P",8,15.6,Intel Iris Xe Graphics,SDD,512,Windows 11 Home Single Language,1.702 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-15-eg2057tu-i5-1240p
"Laptop Asus Vivobook M1503QA-L1026W R5 5600H/8GB/512GB/15.6""FHD/Win 11 (No.00828685)",16890000,Asus,"AMD, Ryzen 5, 5600H",8,15.6,AMD Radeon Graphics,SDD,512,Windows 11,1.7 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-m1503qa-l1026w-r5-5600h
"Laptop Lenovo IdeaPad 5 Pro 16IAH7 i5 12500H/16GB/512GB/16"" WQXGA/Win 11 (No.00833368)",22490000,Lenovo,"Intel, Core i5, 12500H",16,16.0,Intel Iris Xe Graphics,SDD,512,Windows 11 Home,1.95 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-5-pro-16iah7-i5-12500h
"Laptop MSI Modern 14 B11MOU-1031VN i7-1195G7/8GB/512GB/14""FHD/Win11 (No.00798260)",17990000,MSI,"Intel, Core i7, 1195G7",8,14.0,Intel Iris Xe Graphics,SDD,512,Windows 10 Home Single Language,1.3 kg,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-14-b11mou-1031vn-i7-1195g7
"Laptop HP Pavilion 14 dv2034TU i5 1235U/8GB/512GB/14""FHD/Win 11 (No.00820891)",17990000,HP,"Intel, Core i5, 1235U",8,14.0,Intel Iris Xe Graphics,SDD,512,Windows 11 Home,1.41 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-14-dv2034tu-i5-1235u
Laptop Lenovo ThinkBook 14 G2 ITL i5 1135G7/8GB/512GB/14”FHD/Win 11 (No.00825865),16990000,Lenovo,"Intel, Core i5, 1135G7",8,14.0,Intel Iris Xe Graphics,SDD,512,Windows 11 Home,1.4 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-thinkbook-14-g2-itl-i5-1135g7
"Laptop MSI Gaming Katana GF66 12UCK-815VN i5 12450H/8GB/512GB/15.6""/GeForce RTX 3050 4GB/Win11_Balo (No.00842517)",23190000,MSI,"Intel, Core i5, 12450H",8,15.6,NVIDIA GeForce RTX 3050 4GB; Intel UHD Graphics,SDD,512,Windows 11 Home,2.25 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/ms-gaming-katana-gf66-12uck-815vn-i5-12450h
"Laptop Asus TUF Gaming FX507ZE-HN093W i7 12700H/8GB/512GB/GeForce RTX 3050 Ti 4GB/15.6""FHD/Win11 (No.00824251)",28990000,Asus,"Intel, Core i7, 12700H",8,15.6,NVIDIA GeForce RTX 3050 Ti 4 GB; Intel Iris Xe Graphics,SDD,512,Windows 11,2.2 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx507ze-hn093w-i7-12700h
"Laptop Lenovo Gaming Legion 5 15ARH7 R5 6600H/8GB/512GB/15.6""FHD/GeForce RTX 3050 4GB/Win 11 (No.00826500)",28790000,Lenovo,"AMD, Ryzen 5, 6600H",8,15.6,NVIDIA GeForce RTX 3050 4GB; AMD Radeon Graphics,SDD,512,Windows 11 Home,2.35 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-gaming-legion-5-15arh7-r5-6600h?card-do-hoa=rtx-3050
"Laptop Asus Vivobook A515EA-BQ3013W/i3-1115G4/8GB/256GB/15.6""FHD/Win 11 (No.00803001)",12490000,Asus,"Intel, Core i3, 1115G4",8,15.6,Intel UHD Graphics,SDD,256,Windows 11 Home,1.8 kg,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-a515ea-bq3013w-i3-1115g4
"Laptop MSI Modern 14 B11MOU-1030VN i3 1115G4/8GB/256GB/14""FHD/Win 11 (No.00839723)",11490000,MSI,"Intel, Core i3, 1115G4",8,14.0,Intel UHD Graphics,SDD,256,Windows 10 Home,1.3 kg,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-14-b11mou-1030vn-i3-1115g4
"Laptop MSI Gaming GF63 Thin 11SC-666VN i5 11400H/8GB/512GB/15.6""FHD/GeForce GTX 1650 4GB/Win 11 (No.00817149)",18390000,MSI,"Intel, Core i5, 11400H",8,15.6,NVIDIA GeForce GTX 1650 Max-Q 4GB; Intel UHD Graphics,SDD,512,Windows 11,1.86 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-gf63-thin-11sc-666vn-i5-11400h
"Laptop Asus Expertbook B1400CEAE-EB3182W i5 1135G7/8GB/512GB/14.0""FHD/Win 11 (No.00834230)",16990000,Asus,"Intel, Core i5, 1135G7",8,14.0,Intel Iris Xe Graphics,SDD,512,Windows 11 Home,1452 g,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-expertbook-b1400ceae-eb3182w-i5-1135g7
"Laptop HP Pavilion 15 eg2058TU i5 1240P/8GB/256GB/15.6""FHD/Win 11 (No.00825038)",16390000,HP,"Intel, Core i5, 1240P",8,15.6,Intel Iris Xe Graphics,SDD,256,Windows 11 Home Single Language,1.702 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-15-eg2058tu-i5-1240p
"Laptop HP 15s-fq5080TU i5-1235U/8GB/256GB/15.6""FHD/Win 11 (No.00834182)",16390000,HP,"Intel, Core i5, 1235U",8,15.6,Intel Iris Xe Graphics,SDD,256,Windows 11 Home Single Language,1.69 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/hp-15s-fq5080tu-i5-1235u
"Laptop HP 15s-fq5145TU i7 1255U/8GB/256GB/15.6""FHD/Win 11 (No.00834184)",18290000,HP,"Intel, Core i7, 1255U",8,15.6,Intel Iris Xe Graphics,SDD,256,Windows 11 Home Single Language,1.69 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/hp-15s-fq5145tu-i7-1255u
"Laptop Asus Vivobook X415EA-EK1387W i3 1115G4/8GB/256GB/14"" FHD/Win 11 (No.00802992)",11490000,Asus,"Intel, Core i3, 1115G4",8,14.0,Intel UHD Graphics,SDD,256,Windows 11 Home,1.6 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-x415ea-ek1387w-i3-1115g4
"Laptop HP Pavilion 14 dv2035TU i5 1235U/8GB/256GB/14""FHD/Win 11 (No.00825047)",16190000,HP,"Intel, Core i5, 1235U",8,14.0,Intel Iris Xe Graphics,SDD,256,Windows 11 Home,1.41 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-14-dv2035tu-i5-1235u
"Laptop Dell Gaming G15 5515 R7 5800H/8GB/512GB/15.6""FHD/NVIDIA GeForce RTX 3050 4GB/Win 11/Office HS21 (No.00800168)",25490000,Dell,"AMD, Ryzen 7, 5800H",8,15.6,NVIDIA GeForce RTX 3050 4GB,SDD,512,Windows 11 Home,2.81 kg,Trung Quốc,10,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/dell-gaming-g15-5515-r7-5800h?he-dieu-hanh=win-11
"Laptop Dell Gaming G15 5511 i5 11400H/8GB/256GB/15.6""FHD/GeForce RTX 3050 4GB/Win 11/Office HS21 (No.00790251)",24990000,Dell,"Intel, Core i5, 11400H",8,15.6,NVIDIA GeForce RTX 3050 4GB; Intel UHD Graphics,SDD,256,Windows 11 Home,2.81 kg,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/dell-gaming-g15-5511-i5-11400h?ram=ram-8gb
"Laptop Asus TUF Gaming FA507RC-HN051W R7 6800H/8GB/512GB/15.6""FHD/GeForce RTX 3050 4GB/Win 11 (No.00814963)",24890000,Asus,"AMD, Ryzen 7, 6800H",8,15.6,AMD Radeon Graphics,SDD,512,Windows 11,2.2 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fa507rc-hn051w-r7-6800h
"Laptop Lenovo Yoga 7 14ACN6 R7 5800U/8GB/512GB/14.0""FHD/Win 10 (No.00780897)",23990000,Lenovo,"AMD, Ryzen 7, 5800U",8,14.0,AMD Radeon Graphics,SDD,512,Windows 10 Home,1.45 kg,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-yoga-7-14acn6-r7-5800u?he-dieu-hanh=win-10
Laptop Lenovo Yoga 7 14ACN6 R5 5600U/8GB/512GB/14.0''FHD/Win 11 (No.00793543),22490000,Lenovo,"AMD, Ryzen 5, 5600U",8,14.0,AMD Radeon Graphics,SDD,512,Windows 11 Home,1.45 kg,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-yoga-7-14acn6-r5-5600u
Laptop Lenovo ThinkBook 15 G2 ITL i5 1135G7/8GB/512GB/15.6”FHD/MX450 2GB/Win 11 (No.00790276),21790000,Lenovo,"Intel, Core i5, 1135G7",8,15.6,NVIDIA GeForce MX450 2GB; Intel Iris Xe Graphics,SDD,512,Windows 11 Home,1.7 kg,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-thinkbook-15-g2-itl-i5-1135g7?he-dieu-hanh=win-11
"Laptop HP Pavilion 15 eg2055TU i7 1260P/8GB/512GB/15.6""FHD/Win 11 (No.00825045)",21790000,HP,"Intel, Core i7, 1260P",8,15.6,Intel Iris Xe Graphics,SDD,512,Windows 11 Home Single Language,1.72 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-15-eg2055tu-i7-1260p
"Laptop Dell Inspiron 14 N5420 i5 1235U/8GB/256GB/14.0"" FHD/Win 11+Office HS 21 (No.00820199)",21490000,Dell,"Intel, Core i5, 1235U",8,14.0,Intel Iris Xe Graphics,SDD,256,Windows 11 Home,1.55 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-14-n5420-i5-1235u?dung-luong=256gb
Laptop Acer Nitro Gaming AN515-57-5669 i5 11400H/8GB/512GB SSD/Nvidia GTX1650 4GB/Win11 (No.00789041),21490000,Acer,"Intel, Core i5, 11400H",8,15.6,NVIDIA GeForce GTX 1650 4GB; Intel UHD Graphics,SDD,512,Windows 11 Home,2.2 kg,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-57-5669-i5-11400h
"Laptop HP Envy 13 ba1536TU i5 1135G7/8GB/512GB/13.3""FHD/Win 11 (No.00795239)",21190000,HP,"Intel, Core i5, 1135G7",8,13.3,Intel Iris Xe Graphics,SDD,512,Windows 11 Home Single Language,1.3 kg,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/hp-envy-13-ba1536tu-i5-1135g7?he-dieu-hanh=win-11
"Laptop Dell Vostro V5410 i5 11320H/8GB/512GB/14.0""FHD/Win 11+Office HS21 (No.00791065)",21090000,Dell,"Intel, Core i5, 11320H",8,14.0,Intel Iris Xe Graphics,SDD,512,Windows 11 Home,1.442 kg,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/dell-vostro-v5410-i5-11320h?he-dieu-hanh=win-11
HP Pavilion 14-dv2032TU i7 1255U/6K768PA (No.00825051),20990000,HP,"Intel, Core i7, 1255U",8,14.0,Intel Iris Xe Graphics,SDD,512,Windows 11 Home,1.41 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-14-dv2032tu-i7-1255u
"Laptop Asus TUF Gaming FX506HC-HN144W i5 11400H/8GB/512GB/15.6""FHD/NVIDIA GeForce RTX 3050 4GB/Win 11 (No.00807493)",20990000,Asus,"Intel, Core i5, 11400H",8,15.6,NVIDIA GeForce RTX 3050 4GB; Intel UHD Graphics,SDD,512,Windows 11,2.3 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx506hc-hn144w-i5-11400h
"Laptop Asus TUF Gaming FX516PC - HN558W i5 11300H/8GB/512GB SSD/15.6""FHD/GeForce RTX3050 4GB/Win 11 (No.00813507)",20990000,Asus,"Intel, Core i5, 11300H",8,15.6,NVIDIA GeForce RTX 3050 4GB; Intel Iris Xe Graphics,SDD,512,Windows 11 Home,2 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx516pc-hn558w-i5-11300h
"Laptop HP Gaming Victus 16-e0175AX R5 5600H/8GB/512GB/16.1""FHD/NVIDIA GeForce RTX 3050 Ti 4GB/Win 11 (No.00799890)",20590000,HP,"AMD, Ryzen 5, 5600H",8,16.1,NVIDIA GeForce RTX 3050 Ti 4 GB,SDD,512,Windows 11 Home,2.46 kg,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/hp-gaming-victus-16-e0175ax-r5-5600h-rtx-3050ti
"Laptop HP Envy 13 ba1537TU i5 1135G7/8GB/256GB/13.3""FHD/Win 11 (No.00798267)",20390000,HP,"Intel, Core i5, 1135G7",8,13.3,Intel Iris Xe Graphics,SDD,256,Windows 11 Home Single Language,1.23 kg,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/hp-envy-13-ba1537tu-i5-1135g7?he-dieu-hanh=win-11
"Laptop Dell Gaming G15 5515 R5 5600H/8GB/256GB/15.6""FHD/NVIDIA GeForce RTX 3050 4GB/Win11/Office HS21 (No.00808435)",19990000,Dell,"AMD, Ryzen 5, 5600H",8,15.6,NVIDIA GeForce RTX 3050 4GB,SDD,256,Windows 11 Home Single Language,2.81 kg,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/dell-gaming-g15-5515-r5-5600h?ssd=256gb
"Laptop HP Pavilion X360 14 ek0057TU i5 1235U/8GD/512GB/14.0""FHDT/Bút/Win 11 (No.00820903)",19990000,HP,"Intel, Core i5, 1235U",8,14.0,Intel Iris Xe Graphics,SDD,512,Windows 11 Home,1.543 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-x360-14-ek0057tu-i5-1235u
"Laptop HP Pavilion 15 eg2036TX i5 1235U/8GB/512GB/15.6""FHD/GeForce MX550 2GB/Win 11 (No.00825869)",19590000,HP,"Intel, Core i5, 1235U",8,15.6,Intel Iris Xe Graphics,SDD,512,Windows 11 Home Single Language,1.733 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-15-eg2036tx-i5-1235u
"Laptop HP 15s-fq5104TU i7-1255U/8GB/512GB/15.6""HD/Win 11 (No.00820896)",18890000,HP,"Intel, Core i7, 1255U",8,15.6,Intel Iris Xe Graphics,SDD,512,Windows 11 Home Single Language,1.69 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/hp-15s-fq5104tu-i7-1255u
"Laptop HP Pavilion 14 dv2033TU i5 1235U/8GB/512GB/14""FHD/Win 11 (No.00820892)",17990000,HP,"Intel, Core i5, 1235U",8,14.0,Intel Iris Xe Graphics,SDD,512,Windows 11 Home,1.41 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-14-dv2033tu-i5-1235u
"Laptop Asus Vivobook A1503ZA-L1139W i5 12500H/8GB/512GB/15.6""FHD/Win 11 (No.00825034)",17990000,Asus,"Intel, Core i5, 12500H",8,15.6,Intel UHD Graphics,SDD,512,Windows 11 Home,1.7 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-a1503za-l1139w-i5-12500h
"Laptop HP 15s-fq5079TU i5 1235U/8GB/512GB/15.6""HD/Win 11 (No.00820894)",16990000,HP,"Intel, Core i5, 1235U",8,15.6,Intel Iris Xe Graphics,SDD,512,Windows 11 Home Single Language,1.69 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/hp-15s-fq5079tu-i5-1235u
"Laptop Asus Vivobook Pro M3401QA-KM006W R5 5600H/8GB/512GB SSD/14"" 2.8K OLED/Win11 (No.00797331)",16990000,Asus,"AMD, Ryzen 5, 5600H",8,14.0,AMD Radeon Graphics,SDD,512,Windows 11 Home,1.4 g,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-pro-m3401qa-km006w-r5-5600h
"Microsoft Surface Laptop Go i5 1035G1/8GB/128GB/12.4"" Touch/Win10 (No.00775354)",16790000,Microsoft,"Intel, Core i5, 1035G1",8,12.4,Intel UHD Graphics,SDD,128,Windows 10 Home,1.1 kg,Trung Quốc,2020,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/microsoft-surface-go-i5-1035g1?dung-luong=128gb
Laptop Acer Aspire 3 A315-57G-573F i5 1035G1/8GB/512GB SSD/Nvidia GeForce MX330 2GB/Win11 (No.00793778),16490000,Acer,"Intel, Core i5, 1035G1",8,15.6,NVIDIA GeForce MX330 2GB; Intel UHD Graphics,SDD,512,Windows 11 Home,1.9 kg,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-3-a315-57g-573f-i5-1035g1
